Density,Vertices,Method,Time_ms,Memory_MB
Sparse,100,Min-Heap,0.3549,0.0062
Sparse,100,Array(AdjList),0.3572,0.0024
Sparse,100,Array(AdjMatrix),0.6729,0.0024
Medium,100,Min-Heap,0.7194,0.0061
Medium,100,Array(AdjList),0.4753,0.0024
Medium,100,Array(AdjMatrix),0.7639,0.0024
Dense,100,Min-Heap,1.6388,0.0061
Dense,100,Array(AdjList),1.0304,0.0024
Dense,100,Array(AdjMatrix),0.7477,0.0024
Sparse,500,Min-Heap,3.5642,0.0607
Sparse,500,Array(AdjList),9.6259,0.0173
Sparse,500,Array(AdjMatrix),17.3758,0.0174
Medium,500,Min-Heap,5.9395,0.0607
Medium,500,Array(AdjList),11.4793,0.0152
Medium,500,Array(AdjMatrix),16.7849,0.0152
Dense,500,Min-Heap,27.7394,0.0607
Dense,500,Array(AdjList),23.6091,0.0144
Dense,500,Array(AdjMatrix),20.7927,0.0145
Sparse,1000,Min-Heap,8.135,0.1415
Sparse,1000,Array(AdjList),39.6944,0.0359
Sparse,1000,Array(AdjMatrix),79.2804,0.036
Medium,1000,Min-Heap,23.6524,0.1415
Medium,1000,Array(AdjList),51.4047,0.0331
Medium,1000,Array(AdjMatrix),101.9072,0.0331
Dense,1000,Min-Heap,129.561,0.1415
Dense,1000,Array(AdjList),113.4249,0.0286
Dense,1000,Array(AdjMatrix),95.2376,0.0287
Sparse,2000,Min-Heap,15.0656,0.301
Sparse,2000,Array(AdjList),191.126,0.0831
Sparse,2000,Array(AdjMatrix),432.9005,0.0831
Medium,2000,Min-Heap,70.0066,0.301
Medium,2000,Array(AdjList),192.9063,0.069
Medium,2000,Array(AdjMatrix),476.7762,0.069
Dense,2000,Min-Heap,668.3613,0.301
Dense,2000,Array(AdjList),456.1328,0.0567
Dense,2000,Array(AdjMatrix),467.4083,0.0568
Sparse,5000,Min-Heap,63.6342,0.7833
Sparse,5000,Array(AdjList),1423.9349,0.2304
Sparse,5000,Array(AdjMatrix),2402.0385,0.2304
Medium,5000,Min-Heap,426.1057,0.7833
Medium,5000,Array(AdjList),1729.4609,0.1753
Medium,5000,Array(AdjMatrix),2852.4523,0.1753
Dense,5000,Min-Heap,4366.0326,0.7834
Dense,5000,Array(AdjList),3612.9877,0.1295
Dense,5000,Array(AdjMatrix),2285.742,0.1295
