Density,Vertices,Method,Time_ms,Memory_MB
Sparse,100,minheap,0.659,0.0062
Sparse,100,arrlist,0.8103,0.0027
Sparse,100,arrmat,1.3911,0.0027
Medium,100,minheap,1.0736,0.0061
Medium,100,arrlist,0.8757,0.0024
Medium,100,arrmat,1.4469,0.0024
Dense,100,minheap,1.4713,0.0061
Dense,100,arrlist,0.8581,0.0024
Dense,100,arrmat,1.3187,0.0024
Sparse,500,minheap,1.0297,0.0607
Sparse,500,arrlist,0.0946,0.0116
Sparse,500,arrmat,0.1196,0.0116
Medium,500,minheap,9.124,0.0607
Medium,500,arrlist,18.9401,0.0152
Medium,500,arrmat,30.8486,0.0152
Dense,500,minheap,41.4395,0.0607
Dense,500,arrlist,37.8856,0.0142
Dense,500,arrmat,36.6145,0.0142
Sparse,1000,minheap,7.9021,0.1415
Sparse,1000,arrlist,70.3604,0.0356
Sparse,1000,arrmat,127.7745,0.0357
Medium,1000,minheap,28.0763,0.1415
Medium,1000,arrlist,77.9258,0.0338
Medium,1000,arrmat,129.4499,0.0338
Dense,1000,minheap,161.6982,0.1415
Dense,1000,arrlist,156.074,0.0293
Dense,1000,arrmat,153.3453,0.0293
Sparse,2000,minheap,22.0125,0.3011
Sparse,2000,arrlist,293.9992,0.0793
Sparse,2000,arrmat,532.4096,0.0793
Medium,2000,minheap,75.419,0.3011
Medium,2000,arrlist,306.043,0.0687
Medium,2000,arrmat,529.1435,0.0687
Dense,2000,minheap,647.5738,0.3011
Dense,2000,arrlist,630.0341,0.0566
Dense,2000,arrmat,624.5301,0.0566
Sparse,5000,minheap,79.53,0.7833
Sparse,5000,arrlist,1892.3328,0.2285
Sparse,5000,arrmat,3409.8678,0.2285
Medium,5000,minheap,346.1126,0.7833
Medium,5000,arrlist,1872.9886,0.1757
Medium,5000,arrmat,3329.7151,0.1757
Dense,5000,minheap,5365.6628,0.7834
Dense,5000,arrlist,4055.5603,0.1329
Dense,5000,arrmat,3967.7073,0.1329
