Density,Vertices,Method,Time_ms,Memory_MB
Sparse,100,minheap,1.739,0.0062
Sparse,100,arrlist,3.0347,0.0024
Sparse,100,arrmat,2.7057,0.0024
Medium,100,minheap,2.2644,0.0061
Medium,100,arrlist,1.1788,0.0024
Medium,100,arrmat,2.8197,0.0024
Dense,100,minheap,4.1965,0.0061
Dense,100,arrlist,2.5121,0.0024
Dense,100,arrmat,3.0962,0.0024
Sparse,500,minheap,15.0338,0.0607
Sparse,500,arrlist,35.1949,0.0153
Sparse,500,arrmat,81.7681,0.0153
Medium,500,minheap,32.294,0.0607
Medium,500,arrlist,47.6144,0.0151
Medium,500,arrmat,68.0897,0.0152
Dense,500,minheap,45.9591,0.0607
Dense,500,arrlist,36.2354,0.014
Dense,500,arrmat,22.4549,0.0141
Sparse,1000,minheap,10.4072,0.1415
Sparse,1000,arrlist,44.5381,0.0377
Sparse,1000,arrmat,80.7663,0.0378
Medium,1000,minheap,23.6472,0.1415
Medium,1000,arrlist,52.7815,0.033
Medium,1000,arrmat,90.0216,0.0331
Dense,1000,minheap,178.8429,0.1415
Dense,1000,arrlist,138.0757,0.0289
Dense,1000,arrmat,131.6505,0.0289
Sparse,2000,minheap,25.1808,0.301
Sparse,2000,arrlist,245.8449,0.1124
Sparse,2000,arrmat,414.0473,0.1124
Medium,2000,minheap,139.8417,0.301
Medium,2000,arrlist,479.5498,0.0698
Medium,2000,arrmat,325.5347,0.0698
Dense,2000,minheap,810.8301,0.3011
Dense,2000,arrlist,1659.1408,0.0552
Dense,2000,arrmat,828.6791,0.0552
Sparse,5000,minheap,70.7761,0.7834
Sparse,5000,arrlist,1795.4084,0.2209
Sparse,5000,arrmat,3478.7328,0.2209
Medium,5000,minheap,295.4229,0.7833
Medium,5000,arrlist,1476.9778,0.1743
Medium,5000,arrmat,3715.3528,0.1744
Dense,5000,minheap,6898.3323,0.7833
Dense,5000,arrlist,3971.7866,0.1299
Dense,5000,arrmat,2478.987,0.13
