Density,Vertices,Method,Time_ms,Memory_MB
Sparse,100,minheap,0.2937,0.0062
Sparse,100,arrlist,0.2665,0.0025
Sparse,100,arrmat,0.5366,0.0025
Medium,100,minheap,0.4924,0.0061
Medium,100,arrlist,0.3479,0.0024
Medium,100,arrmat,0.5733,0.0024
Dense,100,minheap,0.7654,0.0061
Dense,100,arrlist,0.4033,0.0024
Dense,100,arrmat,0.6432,0.0024
Sparse,500,minheap,2.3032,0.0607
Sparse,500,arrlist,7.8137,0.0159
Sparse,500,arrmat,12.3561,0.0159
Medium,500,minheap,4.4936,0.0607
Medium,500,arrlist,7.6152,0.0152
Medium,500,arrmat,12.7851,0.0152
Dense,500,minheap,23.1156,0.0607
Dense,500,arrlist,20.531,0.0141
Dense,500,arrmat,15.213,0.0141
Sparse,1000,minheap,4.5611,0.1415
Sparse,1000,arrlist,31.4441,0.0374
Sparse,1000,arrmat,49.6894,0.0374
Medium,1000,minheap,12.3225,0.1415
Medium,1000,arrlist,34.0532,0.0333
Medium,1000,arrmat,49.8398,0.0333
Dense,1000,minheap,105.316,0.1415
Dense,1000,arrlist,90.4857,0.0288
Dense,1000,arrmat,60.656,0.0288
Sparse,2000,minheap,10.5417,0.3011
Sparse,2000,arrlist,111.1106,0.0776
Sparse,2000,arrmat,191.9007,0.0776
Medium,2000,minheap,55.0744,0.3011
Medium,2000,arrlist,127.9665,0.0695
Medium,2000,arrmat,197.9311,0.0696
Dense,2000,minheap,440.1089,0.3011
Dense,2000,arrlist,393.158,0.0563
Dense,2000,arrmat,264.4838,0.0563
Sparse,5000,minheap,45.1663,0.7833
Sparse,5000,arrlist,700.4998,0.2111
Sparse,5000,arrmat,1284.551,0.2111
Medium,5000,minheap,215.7807,0.7833
Medium,5000,arrlist,755.043,0.1745
Medium,5000,arrmat,1222.9063,0.1745
Dense,5000,minheap,3520.9831,0.7834
Dense,5000,arrlist,2965.2753,0.1307
Dense,5000,arrmat,1640.4479,0.1308
